담당부서,시설코드,시설명,시설구분,주소,부서 담당자,추가정보1,추가정보2,비고
대구경북환경본부 환경서비스처 대기관리1부,3085.0,화북면 대기측정소,측정소,경북 영천시 화북면 자천리 387-1번지 (화북정수장내),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3086.0,강구면 대기측정소,측정소,경북 영덕군 강구면 강구리 167 (강구대게축구장),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3087.0,계림동 대기측정소,측정소,경북 상주시 냉림1길 50,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3088.0,석포리 대기측정소,측정소,경북 봉화군 석포면 석포리 494-3,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3089.0,대광동 대기측정소,측정소,경북 김천시 공단로 58(김천 환경사업소 내),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3090.0,산동면 대기측정소,측정소,경북 구미시 산동면 첨단기업1로 17 (전자정보기술원 혁신관 3층),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3091.0,광도면 대기측정소,측정소,경남 통영시 안정리 1022-1 (안정출장소 내),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3092.0,통1호 대기측정소,측정소,경남 통영시 동호동 300-14,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3093.0,통2호 대기측정소,측정소,경남 통영시 동호동 300-14,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3094.0,부산항 대기측정소,측정소,경남 창원시 진해구 신항로 434(안골동),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3095.0,명서동 대기측정소,측정소,경남 창원시 의창구 우곡로101번길28 (명서2동사무소),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3096.0,대산면 대기측정소,측정소,경남 창원시 의창구 대산면 갈전로99번길100 (대산정수장),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3097.0,마산항 대기측정소,측정소,경남 창원시 성산구 적현로 424 (귀곡동),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3098.0,봉암동 대기측정소,측정소,경남 창원시 마산회원구 봉양로 148 (봉암동 주민센터),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3099.0,평산동 대기측정소,측정소,경남 양산시 평산동 486-2 (평산동행정복지센터 옥상),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3100.0,삼천포항 대기측정소,측정소,경남 사천시 향촌동 1292,이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3101.0,남상면 대기측정소,측정소,경남 거창군 남상면 인평길 36 (남상면사무소 복지회관),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3102.0,죽도산단 대기측정소,측정소,경남 거제시 장평2로 2길 47 (장평동 거제자동기상관측소),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3103.0,옥포항 대기측정소,측정소,경남 거제시 옥포로2길 55(옥포동),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3104.0,옥포산단 대기측정소,측정소,경남 거제시 아주로 산길 55-1 (아주공설운동장),이상원 대리(010-4750-8870),-,-,-
대구경북환경본부 환경서비스처 대기관리1부,3105.0,저구리 대기측정소,측정소,경남 거제시 남부면 저구리 산116 (한려해상국립공원내),이상원 대리(010-4750-8870),-,-,-
